sentence|translation|sdg
El metaverso permite recrear lo que se llama escenarios de aprendizaje.|The metaverse allows recreating what are called learning scenarios.|4
¿Qué significa eso?|What does that mean?|4
El ejemplo más práctico es una clase de prevención de riesgos laborales.|The most practical example is a occupational risk prevention class.|4
A lo mejor no puedes llevar a los estudiantes a un mundo real de peligro, pero sí puedes llevarlo a un entorno de realidad virtual en el que ellos no corren peligro.|Maybe you can't take the students to a real dangerous world, but you can take them to a virtual environment where they are not in danger.|4
Son algunas de las ventajas expuestas por Juan Suardíaz, profesor de Tecnología Electrónica de la UPCT, en el II Congreso Internacional Educación 4.0: Cuestiones actuales sobre la docencia universitaria, celebrado recientemente en la Facultad de Ciencias de la Empresa.|These are some of the advantages outlined by Juan Suardíaz, professor of Electronic Technology at UPCT, in the 2nd International Congress "Education 4.0: Current issues on university teaching", recently held at the Faculty of Business Sciences.|4
Para Suardíaz, las principales ventajas de llevar el metaverso a las aulas son: poder ofrecer situaciones inmersivas que en la vida real son casi imposible llevar a cabo y aprovechar la capa interna de inteligencia artificial que ofrece este entorno para crear rutas de aprendizaje personalizado.|For Suardíaz, the main advantages of bringing the metaverse into the classrooms are: to offer immersive situations that are almost impossible to carry out in real life and leverage the internal layer of artificial intelligence that this environment offers to create personalized learning paths.|4
Es un aprendizaje vivencial que permite aprender sin salir del aula, gamificado, dinámico.|It is an experiential learning that allows learning without leaving the classroom, gamified, dynamic.|4
El uso de avatares y roles permite que los estudiantes tímidos interactúen mucho más de lo que hacen en la realidad, contribuyendo a su socialización, agrega Suardíaz.|The use of avatars and roles allows shy students to interact much more than they do in reality, contributing to their socialization, adds Suardíaz.|4
El profesor citó durante su intervención El Metaverso y el eLearning como herramientas de aprendizaje desventajas de esta plataforma.|The professor mentioned during his presentation "The Metaverse and eLearning as learning tools" disadvantages of this platform.|4
Estamos ahora como cuando comenzó internet y palabras que ahora nos resultan comunes como pueda ser correo electrónico en aquél entonces nos resultaban extrañas.|"We are now like when the internet began and words that are common to us now, such as email, were strange to us back then.|4
La principal barrera actual es que muchos de estos dispositivos necesarios para desarrollarlos o utilizarlos aún son caros.|The main current barrier is that many of these devices needed to develop or use them are still expensive.|4
El desarrollo de ese mundo virtual requiere un intenso trabajo de programación que encarece.|The development of that virtual world requires an intensive programming work that makes it expensive.|4
Si bien sus orígenes se remontan a la película de los 80 Tron, el término metaverso apareció por primera vez en 1992 en el libro de Neal Stephenson en la novela Snow Crash.|While its origins date back to the 80s movie "Tron", the term metaverse first appeared in 1992 in Neal Stephenson's book in the novel "Snow Crash".|4
Al principio, la capacidad tecnológica para desarrollarlo estaba muy limitado por la potencia de los computadores de la época, pero en 2003 surge la plataforma Second Life, que es la plataforma más longeva que explota este concepto.|At first, the technological capacity to develop it was very limited by the power of the computers of the time, but in 2003, the Second Life platform emerged, which is the longest-running platform that exploits this concept.|9
Desde entonces ha evolucionado con gran rapidez.|Since then, it has evolved rapidly.|9
Grandes compañías ya lo están incursionado y abriendo tiendas en el metaverso.|Big companies are already venturing into it and opening stores in the metaverse.|9
