sentence|translation|sdg
Las conclusiones de un Trabajo Fin de Estudios sobre el turismo de camping y caravanas como una modalidad sostenible han sido recogidas en un capítulo del libro Manual de Turismo, Salud Pública y Bienestar, de Elgaronline, una editorial internacional especializada en gestión y negocios.|The conclusions of a Final Degree Project on camping and caravan tourism as a sustainable modality have been included in a chapter of the book "Manual of Tourism, Public Health and Well-being" from Elgaronline, an international publishing company specialized in management and business.|9
La estudiante, Tamara Saura Acosta, concluye en su TFG El turismo de movilidad comes una garantía de salud, bienestar y sostenibilidad que el caravaning está actualmente en auge en España y crece de forma constante.|The student, Tamara Saura Acosta, concludes in her FDP "Mobility tourism as a guarantee of health, well-being, and sustainability" that caravaning is currently booming in Spain and growing steadily.|3
Este estudio aborda la interrelación entre la demanda y el uso del turismo en movilidad desde el crecimiento exponencial del camping y el caravaning.|This study addresses the interrelationship between the demand and use of "mobility tourism" from the exponential growth of camping and caravaning.|9
Propone un modelo para orientar una estrategia de desarrollo (oferta) y demanda turística explorando los factores de éxito, con miras a la sostenibilidad y gestión de estos negocios turísticos.|It proposes a model to guide a strategy of development (supply) and tourist demand by exploring success factors, aiming at sustainability and management of these tourism businesses.|9
Aporta además análisis de datos recientes de la región del Algarve, en Portugal.|It also provides analysis of recent data from the Algarve region in Portugal.|9
El TFG contempla, además, nuevas formas de residencia turística, como las caravanas y autocaravanas, o lo que es lo mismo, el caravaning, un fenómeno con gran arraigo en países como Alemania, Francia e Inglaterra, y que en España está actualmente en auge y crece de forma constante.|The FDP also contemplates new forms of tourist residence, such as caravans and motorhomes, or what is known as "caravaning," a phenomenon deeply rooted in countries like Germany, France, and England, and currently booming and growing steadily in Spain.|8
Según estudios realizados, a España llegan anualmente unas 400.000 caravanas.|According to studies, around 400,000 caravans arrive in Spain annually.|9
Datos de la encuesta del Instituto Nacional de Estadística sobre la ocupación de campings constatan un crecimiento medio por encima a otros alojamientos turísticos, según el trabajo.|Data from the National Statistics Institute's survey on camping occupancy shows an average growth above other tourist accommodations, according to the study.|9
Según este TFG, la pandemia de la Covid puso de manifiesto la gran vulnerabilidad del sector turístico ante las catástrofes naturales, haciendo evidente la importancia de estudios técnicos y científicos para ayudar a los operadores a reducir los efectos socioeconómicos y los consiguientes efectos en el bienestar físico y psicológico.|According to this FDP, "the Covid pandemic highlighted the great vulnerability of the tourism sector to natural disasters, making it evident the importance of technical and scientific studies to help operators reduce the socio-economic effects and the consequent effects on physical and psychological well-being."|3
Recientemente, el camping y el caravaning se ha convertido en una opción turística para garantizar la salud y el bienestar en situaciones como la vivida en la última pandemia, según el artículo publicado.|"Recently, camping and caravaning has become a tourist option to guarantee health and well-being in situations like the one experienced in the last pandemic," according to the published article.|3
Además, el usuario tiene cada vez más en cuenta la sostenibilidad de los destinos donde practicar este turismo de movilidad, dado que puede ser garantizada con la utilización de TIC´s o apps especializadas de las áreas de camper públicas, privadas, o paradas de descanso y los servicios de los campings, según las conclusiones del estudio.|Furthermore, users increasingly take into account the sustainability of the destinations where they practice this mobility tourism, given that it can be guaranteed through the use of ICTs or specialized apps for public camper areas, private areas, rest stops, and camping services, according to the study's conclusions.|9
Junto a Tamara Saura, el capítulo del libro Handbook on Tourism, Public Health and Well-being lo firman el profesor Antonio Juan Briones Peñalver, investigador principal del grupo Estrategias Organizativas y Comerciales de las Empresas de la UPCT y director de la Cátedra de RSC y Economía Circular y Pedro Fernandes da Anunciação, investigador del Centro de Investigación en Ciencias Empresariales (CICE), del Instituto Politécnico de Setúbal (Portugal).|Along with Tamara Saura, the chapter of the book "Handbook on Tourism, Public Health and Well-being" is signed by Professor Antonio Juan Briones Peñalver, principal researcher of the Organizational and Commercial Strategies of Companies group at UPCT and director of the CSR and Circular Economy Chair, and Pedro Fernandes da Anunciação, researcher at the Research Center in Business Sciences (CICE) of the Polytechnic Institute of Setúbal (Portugal).|3
El TFG servirá para consolidar la línea de investigación Sostenibilidad territorial y acciones de Responsabilidad Social Corporativa (RSC) como estrategia regional para fomento la economía azul, financiado por la Comunidad Autónoma de la Región de Murcia.|The FDP will serve to consolidate the research line "Territorial Sustainability and Corporate Social Responsibility (CSR) actions as a regional strategy to promote the blue economy," funded by the Autonomous Community of the Region of Murcia.|9
