sentence | translation | sdg  
La formación a 25 mujeres emprendedoras del mundo rural de la experiencia piloto del proyecto Greenworal llega a su fin. | Training for 25 women entrepreneurs from rural areas of the Greenworal project pilot experience comes to an end. | 5  
Crear una empresa de bisutería hecha con productos biodegradables; un refugio digital que permitirá alojar a clientes para meditar, relajarse o disfrutar del campo; montar una pequeña fábrica de tarritos de gazpacho o exportar cítricos ecológicos, son algunas de las propuestas surgidas de este proyecto de investigación financiado con fondos europeos, que comenzó en marzo de 2022 y finalizará en septiembre de 2024. | Creating a jewelry company made with biodegradable products; a digital refuge that will allow hosting clients to meditate, relax, or enjoy the countryside; setting up a small gazpacho jars factory or exporting organic citrus fruits are some of the proposals that have emerged from this research project funded by European funds, which began in March 2022 and will end in September 2024. | 1  
Investigadores de la UPCT han formado a las mujeres rurales, de edades comprendidas entre los 18 y 66 años, para que adquieran habilidades digitales básicas; habilidades blandas como asertividad, comunicación o liderazgo; emprendimiento verde y negocios. | Researchers from UPCT have trained rural women, aged between 18 and 66 years, to acquire basic digital skills; soft skills such as assertiveness, communication, or leadership; green entrepreneurship, and business. | 5  
La siguiente fase estará dedicada a la mentorización, explica Paqui Rosique, investigadora principal. | The next phase will be dedicated to mentoring, explains Paqui Rosique, the principal researcher. | 4  
Este proyecto Erasmus+ promueve ideas verdes empresariales e innovadoras que sean beneficiosas para el medio ambiente y con rentabilidad financiera. | This Erasmus+ project promotes innovative green business ideas that are beneficial for the environment and financially profitable. | 12  
Se desarrolla de forma simultánea junto a otras cuatro universidades de European University of Technology (EUt+). | It is being developed simultaneously with four other universities of the European University of Technology (EUT+). | 4  
Mentorización Los investigadores implementarán un paquete educativo innovador que incluye varias iniciativas. | Mentoring: Researchers will implement an innovative educational package that includes several initiatives. | 4  
Entre ellas, un programa de mentores para guiar a aquellas mujeres que estén dispuestas a iniciar sus propios negocios verdes. | Among them, a mentoring program to guide women willing to start their own green businesses. | 5  
También desarrollarán un kit de herramientas sobre emprendimiento verde que proporcione estrategias y recursos a cualquier mujer que quiera dar los primeros pasos con su iniciativa empresarial y les permita conocer los factores de éxito, especialmente en las zonas rurales. | They will also develop a toolkit on green entrepreneurship that provides strategies and resources to any woman who wants to take the first steps with her business initiative and allows them to learn about success factors, especially in rural areas. | 5  
El proyecto Greenworal propiciará que tengan un mejor acceso a la educación, el emprendimiento y los procesos de toma de decisiones. | The Greenworal project will provide better access to education, entrepreneurship, and decision-making processes. | 4  
Junto a la UPCT, en este proyecto de Erasmus+ participan otros tres socios miembros de EUt+: Cyprus University of Technology (CUT), Technological University Dublin (TUD) y Riga Technical University (RTU). | Along with UPCT, this Erasmus+ project involves three other EUt+ member partners: Cyprus University of Technology (CUT), Technological University Dublin (TUD), and Riga Technical University (RTU). | 4  
También la Universidad Francisco de Victoria (UFV), el Centro de Educación de Adultos (CEA) Mar Menor, la Women Association of Rural Larnaka (WARL), Drogheda Enterprise Centre (DEC) y Association LIDERE (LID). | Also, the Universidad Francisco de Victoria (UFV), Adult Education Center (CEA) Mar Menor, Women Association of Rural Larnaka (WARL), Drogheda Enterprise Centre (DEC), and Association LIDERE (LID). | 4  
Los investigadores han obtenido el respaldo de asociaciones y organizaciones como FADEMUR, AFAMMER, REDRMUR, Instituto de Mayores y Servicios Sociales, COAG, AMEP (Asociación de Mujeres Empresarias y Profesionanles) y Plena Inclusión MADRID. | Researchers have received the support from associations and organizations such as FADEMUR, AFAMMER, REDRMUR, the Institute for the Elderly and Social Services, COAG, AMEP (Association of Women Entrepreneurs and Professionals), and Plena Inclusión MADRID. | 3
