sentence | translation | sdg  
Con una visita al museo del Agua y la Energía comienza el proyecto ACCQUA como experiencia entre el arte y la ciencia. | With a visit to the Water and Energy Museum, the ACCQUA project begins as an experience between art and science. | 9  
Es la primera de las doce actuaciones contempladas en ‘Arte Con Ciencia sobre los requerimientos Universales del Agua’, un proyecto encaminado al fomento de la cultura científica, tecnológica y de la innovación, financiado por la Fundación Española para la Ciencia y la Tecnología (FECYT). | It is the first of the twelve actions contemplated in 'Art With Science about the Universal Requirements of Water,' a project aimed at promoting scientific, technological, and innovative culture, financed by the Spanish Foundation for Science and Technology (FECYT). | 4  
Visibilización, concienciación e innovación son los tres ejes propuestos en el proyecto ACCQUA para avanzar hacia soluciones reales, efectivas y sostenibles que permitan asegurar el suministro de agua en la actualidad y en el futuro. | Visibility, awareness, and innovation are the three proposed axes in the ACCQUA project to advance towards real, effective, and sustainable solutions that allow ensuring water supply in the present and future. | 6  
Las diferentes acciones unen pasado, presente y futuro en la respuesta al reto del agua y se desarrollarán hasta el próximo mes de julio. | The different actions unite past, present, and future in response to the water challenge and will be developed until next July. | 6  
Las Jornadas de Ingeniería del Agua, un congreso científico de carácter nacional que reúne a 250 expertos, que se celebra esta semana en la UPCT se convierten en la primera acción del proyecto. | The Water Engineering Conference, a national scientific congress that brings together 250 experts, which is taking place this week at the UPCT, becomes the first action of the project. | 9  
Le siguen otras actividades en el Museo del Agua y la Energía, ubicado en el campus Alfonso XIII. | Other activities in the Water and Energy Museum continue, located on the Alfonso XIII campus. | 9  
Serán una exposición sobre la Mancomunidad de los Canales del Taibilla y una intervención integral sobre el Objetivo de Desarrollo Sostenible 6 ‘Agua limpia y saneamiento, en la que el arte estará muy presente. | There will be an exhibition about the Canals of Taibilla and a comprehensive intervention on Sustainable Development Goal 6 'Clean Water and Sanitation,' in which art will be very present. | 6  
Se realizará una pintura mural en el exterior del Museo de 20x7 metros. | A mural painting will be made on the exterior of the Museum measuring 20x7 meters. | 11  
Esta obra estará relacionada con las soluciones sostenibles al problema del agua. | This work will be related to sustainable solutions to the water problem. | 6  
También está prevista una performance en el Museo y un espectáculo de arte sonoro que permitirá disfrutar de una pieza musical mediante sonidos del agua, interpretada por estudiantes del bachillerato artístico del IES Ben Arabí y del Conservatorio de Cartagena. | A performance and a sound art show are also planned at the Museum, which will allow enjoying a musical piece through water sounds, performed by students from the artistic baccalaureate of IES Ben Arabí and the Cartagena Conservatory. | 4  
Habrá además un día reservado a la música en directo, en la que un artista emergente del ámbito de la electrónica realizará una sesión cuya finalidad es establecer una conexión entre naturaleza, agua y tecnología. | There will also be a day dedicated to live music, where an emerging artist in the field of electronics will perform a session aimed at establishing a connection between nature, water, and technology. | 13  
La última actuación contemplada en el museo será una simbiosis temprana arte-ciencia en la que colaborarán estudiantes de bachillerato artístico y tecnológico. | The last action planned at the museum will be an early symbiosis of art and science involving students of artistic and technological baccalaureate. | 4  
El protagonista será el acueducto de Perín, una infraestructura que hace llegar el agua a la ciudad de Cartagena. | The protagonist will be the aqueduct of Perín, an infrastructure that brings water to the city of Cartagena. | 6  
Las otras tres acciones de apoyo fuera de las instalaciones de la UPCT comenzarán con unas charlas divulgativas sobre arte, ciencia y agua, que tendrán lugar en el museo del Teatro Romano. | The other three support actions outside the UPCT facilities will begin with informative talks about art, science, and water, held at the Roman Theater Museum. | 4, 6  
La segunda actuación será “Conectando redes: nuevos usos de las tapas de registro”, que convertirá estos elementos en soportes de comunicación. | The second action will be "Connecting networks: new uses for manhole covers," which will turn these elements into communication supports. | 9  
Este proyecto divulgativo finalizará con talleres divulgativos en el festival Fan Futura Fest, que se celebra en San Javier el próximo mes de julio. | This informative project will end with outreach workshops at the Fan Futura Fest festival, which will take place in San Javier next July. | 4  
Destaca en este proyecto la participación conjunta y colaborativa de diferentes entidades. | The joint and collaborative participation of different entities stands out in this project. | 17  
Junto a la UPCT colaboran: la Mancomunidad de los Canales del Taibilla, el Ayuntamiento de Cartagena, Hidrogea, el Centro de Estudios Históricos de Obras Públicas y Urbanismo (CEHOPU-CEDEX), el museo del Teatro Romano, el quipo de investigación artística, el Conservatorio de Música y los Institutos de Educación Secundaria Ben Arabí e Isaac Peral. | Along with the UPCT, the Canals of Taibilla Consortium, the Cartagena City Council, Hidrogea, the Center for Historical Studies of Public Works and Urbanism (CEHOPU-CEDEX), the Roman Theater Museum, the artistic research team, the Conservatory of Music, and the Ben Arabí and Isaac Peral Secondary Education Institutes collaborate. | 17  
El proyecto ACCQUA (FCT-22-18736) está dirigido por Javier Pérez de la Cruz, profesor del departamento de Ingeniería Minera y Civil de la UPCT y que imparte clase en la Escuela de Ingeniería de Caminos y Minas. | The ACCQUA project (FCT-22-18736) is led by Javier Pérez de la Cruz, a professor in the Department of Mining and Civil Engineering at UPCT who teaches at the School of Civil Engineering and Mines. | 4
