sentence|translation|sdg
La Cátedra Interuniversitaria de Medio Ambiente Autoridad Portuaria de Cartagena - Campus Mare Nostrum ha concedido el premio al mejor Trabajo Fin de Grado del pasado curso al ingeniero mecánico por la UPCT Jesús Cabezos Olmedo, por su proyecto de simulación de una terminal automatizada de contenedores.|The Interuniversity Chair of Environment Port Authority of Cartagena - Mare Nostrum Campus awarded the best Bachelor's Thesis prize of the last academic year to mechanical engineer from UPCT, Jesús Cabezos Olmedo, for his project on simulating an automated container terminal.|9
El TFG premiado simula mediante un gemelo digital el funcionamiento automatizado de una grúa pórtico sobre raíles para la gestión de los contenedores de carga.|The awarded Bachelor's Thesis simulates, through a digital twin, the automated operation of a gantry crane on rails for cargo handling.|9
El trabajo, dirigido por Francisco Cavas y codirigido por Joaquín Solano, se ha realizado en colaboración con el profesor José Andrés Moreno y con la empresa Terminal Marítima de Cartagena.|The work, supervised by Francisco Cavas and co-supervised by Joaquín Solano, was conducted in collaboration with Professor José Andrés Moreno and Terminal Marítima de Cartagena company.|17
La transformación digital en el marco de la Industria 4.0 es esencial en la mejora de la competitividad de la cadena de valor del sector portuario español, argumenta el recién egresado de la UPCT, destacando que la simulación facilita un uso eficiente de la operaciones logísticas y mejora la sostenibilidad ambiental del Puerto al disminuir la contaminación acústica y atmosférica.|"Digital transformation within the Industry 4.0 framework is essential in enhancing the competitiveness of the value chain of the Spanish port sector," argues the recent graduate from UPCT, emphasizing that simulation enables "efficient use of logistical operations" and enhances the environmental sustainability of the port by reducing acoustic and atmospheric pollution.|9
Además, el uso de un pórtico grúa electrificado que plantea la simulación permitiría sustituir a los actuales equipos de combustión con los que se realiza el movimiento de contenedores.|Moreover, the use of an electrified gantry crane proposed by the simulation would replace the current combustion equipment used for container movement.|9
Únicamente el 3% de las terminales portuarias en el mundo están automatizadas, según recoge el TFG premiado, por lo que la incorporación de esta tecnología disruptiva sería una oportunidad única para aprovechar la privilegiada situación geográfica de Cartagena en las rutas que unen el canal de Suez con el estrecho de Gibraltar, añade el trabajo.|Only 3% of port terminals worldwide are automated, as stated in the awarded Bachelor's Thesis, so the integration of this disruptive technology would be "a unique opportunity to leverage Cartagena's privileged geographical position on routes linking the Suez Canal with the Strait of Gibraltar," notes the work.|9
La planificación de una terminal es crucial para su funcionamiento y el gemelo digital puede servir de gran ayuda en esta tarea, resalta el ingeniero premiado, cuyo trabajo parte de los cálculos realizados por el profesor Moreno para minimizar el movimiento de los contenedores en función de su puerto de destino.|"Terminal planning is crucial for its operation, and the digital twin can be of great assistance in this task," emphasizes the awarded engineer, whose work builds on calculations by Professor Moreno to minimize container movement based on their destination port.|9
Esta herramienta permite hacer estimaciones del tiempo necesario para descargar y cargar y, de este modo, conocer la disponibilidad de la terminal cuando aparezca una solicitud de atraque de un determinado buque, aumentando así la capacidad y productividad de la misma, concluye.|"This tool allows for estimates of the time needed for unloading and loading, thus determining the terminal's availability when a docking request from a specific vessel appears, thereby increasing its capacity and productivity," concludes.|9
Jesús Cabezos Olmedo (Cartagena, 1999) concluyó el grado en Ingeniería Mecánica en septiembre pasado, mes en el que también fue contratado por la compañía Therman Mantenimiento Industrial.|Jesus Cabezos Olmedo (Cartagena, 1999) completed his degree in Mechanical Engineering last September, the month in which he was also hired by Therman Mantenimiento Industrial company.|9
Actualmente trabaja como ingeniero de proyectos en Mecánicas Bolea.|He currently works as a project engineer at Mecánicas Bolea.|9
Durante su etapa de estudiante fue becario de la cátedra de Puertas Padilla.|During his student years, he was a scholarship holder of the Puertas Padilla Chair.|4
