sentence | translation | sdg
La preservación del patrimonio arquitectónico modernista en el cementerio Nuestra Señora de Los Remedios de Cartagena sigue ligada a la UPCT y su Escuela de Arquitectura y Edificación. | The preservation of modernist architectural heritage in the Our Lady of Los Remedios Cemetery in Cartagena remains linked to the UPCT and its School of Architecture and Building. | 11
El Ayuntamiento de Cartagena ha encargado a una profesora y un exalumno de la Politécnica de Cartagena los proyectos de restauración de tres mausoleos del camposanto. | The Cartagena City Council has commissioned a professor and a former student from the Polytechnic University of Cartagena to carry out the restoration projects for three mausoleums in the cemetery. | 4
La docente e investigadora María José Muñoz Mora ha proyectado la restauración integral, incluyendo el desmontaje y montaje de todas las piezas del elemento escultórico, del sepulcro Martínez de la Peña, una edificación funeraria de 150 años de antigüedad que ha pasado a ser propiedad del Ayuntamiento de Cartagena y que se encuentra en un estado muy avanzado de deterioro, corriendo incluso el riesgo de colapso. | Teacher and researcher María José Muñoz Mora has planned the comprehensive restoration, including the disassembly and assembly of all the pieces of the sculptural element, of the Martínez de la Peña tomb, a funerary building 150 years old that has become the property of the Cartagena City Council and is in a very advanced state of deterioration, even facing the risk of collapse. | 11
A la espera de la licitación de la ejecución del proyecto, se encuentra precintado. | Pending the tender for the execution of the project, it is sealed. | 16
Este sepulcro, emplazado en la primera fila del bulevar que ordena la parte antigua del camposanto, se construyó en torno a 1872, sólo cuatro años después de la inauguración del cementerio. | This tomb, located in the first row of the boulevard that organizes the old part of the cemetery, was built around 1872, just four years after the cemetery was inaugurated. | 11
“En el centro del conjunto existe un pedestal pétreo coronado con una estatua que representa un ángel adolescente, de rizados cabellos y vestido con túnica de multitud de pliegues. | "In the center of the ensemble there is a stone pedestal crowned with a statue representing a teenage angel, with curly hair and dressed in a tunic with many folds. | 11
Con brazo derecho alzado hacia el cielo y el izquierdo flexionado portando una rama de olivo. | With the right arm raised towards the sky and the left one bent carrying an olive branch. | 11
Los laterales del pedestal están recorridos por finas pilastras verticales que enmarcan simbólicas figuras femeninas”, describe la profesora de la Escuela Técnica Superior de Arquitectura y Edificación (ETSAE), que cuenta con la colaboración de los ingenieros de Edificación Rosario Martínez Oliva y David Navarro Moreno y que ya restauró el panteón modernista de la familia Pedreño y Deu. | "The sides of the pedestal are lined with fine vertical pilasters that frame symbolic female figures," describes the professor from the Higher Technical School of Architecture and Building (ETSAE), who has the collaboration of Building engineers Rosario Martínez Oliva and David Navarro Moreno and who has already restored the modernist pantheon of the Pedreño and Deu family. | 11
Máster en Patrimonio Arquitectónico | Master's Degree in Architectural Heritage | 4
El Ayuntamiento ha encargado también la restauración de otros dos mausoleos del cementerio de Los Remedios al estudio de Arquitectura JARM, liderado por el arquitecto José Antonio Rodríguez Martín, egresado por la UPCT en Ingeniería de Edificación y en el Máster de Patrimonio Arquitectónico. | The City Council has also commissioned the restoration of two other mausoleums in the Los Remedios cemetery to the JARM Architecture studio, led by architect José Antonio Rodríguez Martín, a graduate of the UPCT in Building Engineering and in the Master's Degree in Architectural Heritage. | 4
En concreto, se le ha encargado la restauración del sepulcro del poeta cartagenero José Martínez Monroy, realizado a finales del siglo XIX en piedra, a modo de obelisco, con decoraciones de inspiración griega, y el arreglo integral del panteón de la familia Sacristá y Fernández, erigido en 1889. | Specifically, he has been commissioned the restoration of the tomb of the Cartagena poet José Martínez Monroy, made in stone at the end of the 19th century, in the form of an obelisk, with Greek-inspired decorations, and the integral repair of the Sacristá and Fernández family pantheon, erected in 1889. | 4
“De forma cuadrangular, está realizado en ladrillo con acabado de mortero, imitando almohadillado con una interesante portada de corte clásico realizada en piedra arenisca”, detalla el exalumno de la UPCT. | "Square in shape, it is made of brick with a mortar finish, imitating padding with an interesting classic stone portal," details the UPCT alumni. | 4
“Carece de tejado, por lo que el estado del conjunto es de un deterioro muy avanzado y con el proyecto, una vez superada la fase de investigación, se realizará una restauración completa con recuperación de la cubierta original para proteger su interior. | "It lacks a roof, therefore the state of the whole is very advanced deterioration and with the project, once the research phase is overcome, a complete restoration will be carried out with the recovery of the original roof to protect its interior. | 11
Todo el proceso se realizará con técnicas y sistemas constructivos similares a los originales”, añade. | The entire process will be carried out with techniques and construction systems similar to the originals," he adds. | 9
