sentence | translation | sdg
Investigadores de la Escuela Técnica Superior de Arquitectura y Edificación (ETSAE) de la Universidad Politécnica de Cartagena participan desde este mes de octubre en el proyecto europeo LIFE_BauhausingEurope (LIFE22-ENV-ES-LIFEBauhausingEurope). | Researchers from the Higher Technical School of Architecture and Building (ETSAE) of the Polytechnic University of Cartagena have been participating since this October in the European project LIFE_BauhausingEurope (LIFE22-ENV-ES-LIFEBauhausingEurope). | 9
Esta iniciativa validará el enfoque de la Nueva Bauhaus Europea (NEB, por sus siglas en inglés) para la "reimaginación de edificios públicos" en cinco barrios diferentes de cuatro países, entre los que está el barrio de La Concepción de Cartagena. | This initiative will validate the approach of the New European Bauhaus (NEB) for the "reimagination of public buildings" in five different neighborhoods in four countries, including the neighborhood of La Concepción in Cartagena. | 9
La investigación se desarrollará hasta 2027 en Cartagena y Blanca, Varazdin (Croacia), Adazi (Letonia) y Erzsébtváros, un céntrico distrito de Budapest (Hungría). | The research will be carried out until 2027 in Cartagena and Blanca, Varazdin (Croatia), Adazi (Latvia), and Erzsébtváros, a central district of Budapest (Hungary). | 9
De esta manera, el Ayuntamiento de Cartagena también es uno de los socios que participan en el proyecto. | In this way, the Cartagena City Council is also one of the partners participating in the project. | 9
El objetivo principal de LIFE_BauhausingEurope es demostrar que el enfoque NEB es adecuado para la transformación de cualquier territorio, independientemente de su tamaño, carácter rural o urbano, los retos urbanos o los procesos de degradación sufridos en el mismo, entre otras características. | The main objective of LIFE_BauhausingEurope is to demonstrate that the NEB approach is suitable for the transformation of any territory, regardless of its size, rural or urban character, urban challenges, or degradation processes suffered, among other characteristics. | 9
Estas actuaciones beneficiarán a más 57.000 ciudadanos a través de la renovación de los edificios y a más de 76.000 gracias de las actuaciones realizadas en los espacios al aire libre. | These actions will benefit over 57,000 citizens through the renovation of buildings and over 76,000 thanks to the actions carried out in outdoor spaces. | 3
El proyecto cuenta con un presupuesto de 4.624.142, de los cuales la Unión Europea subvenciona el 60% (2.774.485) a través del Programa LIFE de Medio Ambiente. | The project has a budget of 4,624,142, of which the European Union subsidizes 60% (2,774,485) through the LIFE Environment Program. | 13
El consorcio está coordinado por EuroVertice Consultores y participan cinco autoridades locales acompañadas de otros socios con un variado perfil multidisciplinar: la Escuela Técnica Superior de Arquitectura y Edificación de la Universidad Politécnica de Cartagena, la consultora energética Ekodoma, el Green Building Council de Croacia o el centro artístico de Budapest Pro-Progresione. | The consortium is coordinated by EuroVertice Consultores and includes five local authorities accompanied by other partners with a varied multidisciplinary profile: the Higher Technical School of Architecture and Building of the Polytechnic University of Cartagena, the energy consulting firm Ekodoma, the Green Building Council of Croatia, or the artistic center of Budapest Pro-Progresione. | 17
Esta semana se ha realizado en Murcia el kick-off meeting del proyecto, el evento que ha marcado el inicio de la investigación y este miércoles se realizó también una visita al barrio de la Concepción. | This week, the project's kick-off meeting was held in Murcia, the event that marked the beginning of the research, and on Wednesday, a visit to the neighborhood of La Concepción was also conducted. | 9
Participan en el proyecto por la UPCT el director de la ETSAE, Carlos Parra; el arquitecto por la UPCT José María Mateo y su socia en el MEII Estudio Elvira Carrión. | Participating in the project for UPCT are the director of ETSAE, Carlos Parra; the architect of UPCT, José María Mateo, and his partner in the MEII Estudio Elvira Carrión. | 9
FASES DEL PROYECTO El proyecto comenzará aplicando el enfoque NEB a la renovación integral de edificios públicos. | PHASES OF THE PROJECT The project will start by applying the NEB approach to the comprehensive renovation of public buildings. | 9
La "reimaginación de los edificios", como se denomina el proceso de ideación, correrá a cargo de un equipo multidisciplinar con la participación activa de usuarios y vecinos. | The "reimagination of buildings," as the ideation process is called, will be carried out by a multidisciplinary team with the active participation of users and neighbors. | 9
Las ideas y nuevos usos definidos se incorporarán a los pliegos de prescripción del concurso de ideas que los ayuntamientos organicen para la redacción del proyecto de renovación. | The defined ideas and new uses will be included in the tender specifications of the ideas competition that the municipalities organize for the drafting of the renovation project. | 9
Los proyectos de renovación serán una oportunidad para implicar a los usuarios y hacerles más conscientes de la comunidad en la que viven, en un espacio para todos aquellos relacionados con las actividades a desarrollar en cada edificio. | The renovation projects will be an opportunity to involve users and make them more aware of the community in which they live, in a space for all those related to the activities to be carried out in each building. | 11
Asimismo, se llevará a cabo la restauración de los espacios exteriores de estos barrios, con el objetivo de mejorar el uso público de estas zonas y disponer de espacios para el encuentro de las comunidades locales. | Likewise, the restoration of the outdoor spaces in these neighborhoods will be carried out, with the aim of improving the public use of these areas and providing spaces for the meeting of local communities. | 11
El diseño de estas acciones se realizará también de forma colaborativa con los vecinos, sobre la base de la reutilización y reciclaje de los materiales existentes para minimizar el uso de nuevos recursos. | The design of these actions will also be carried out collaboratively with the neighbors, based on the reuse and recycling of existing materials to minimize the use of new resources. | 11
Todas las actuaciones en edificios y espacios públicos irán acompañadas de un intenso programa de seguimiento de indicadores ambientales y sociales para medir el impacto del proyecto. | All actions in buildings and public spaces will be accompanied by an intensive monitoring program of environmental and social indicators to measure the project's impact. | 13
También se llevará a cabo un análisis holístico sobre la integración de los aspectos de sostenibilidad, belleza e inclusión, para validar la aplicación del enfoque NEB. | A holistic analysis will also be conducted on the integration of sustainability, beauty, and inclusion aspects to validate the application of the NEB approach. | 9
Beautiful, sustainable, together: validation of the New European Bauhaus approach for the reimagination of public buildings as boosting projects for the transformation of their neighborhoods es el nombre completo del proyecto LIFE_BauhausingEurope (LIFE22-ENV-ES-LIFEBauhausingEurope). | 'Beautiful, sustainable, together: validation of the New European Bauhaus approach for the reimagination of public buildings as boosting projects for the transformation of their neighborhoods' is the full name of the LIFE_BauhausingEurope project (LIFE22-ENV-ES-LIFEBauhausingEurope). | 9
