sentence | translation | sdg  
Mujer. |Woman.|5  
Desertificación. |Desertification.|13  
Sequía. |Drought.|13  
A estas tres palabras les une una dimensión mundial, que afectan a numerosas regiones del mundo. |These three words are united by a global dimension, affecting numerous regions around the world.|15  
El lema elegido en este 2023 para el Día Mundial contra la Desertificación es: Mujer. Sus tierras. Sus derechos. |The chosen motto for this 2023 World Day to Combat Desertification is: 'Woman. Her lands. Her rights.'|5  
Ino Martínez,?profesora del departamento de Economía de la Empresa, destaca la importancia de la mujer contra la desertificación. |Ino Martinez, a professor in the Department of Business Economics, highlights the importance of women in combating desertification.|5  
Para la Coordinadora de Master Universitario en Dirección de Entidades de Economía Social, la mujer siempre ha tenido un papel fundamental. |For the Coordinator of the University Master's Degree in Social Economy Entities Management, women have always had a fundamental role.|5  
Son las mujeres quienes gestionan los recursos naturales: la tierra, el agua, ya que son ellas quienes, generalmente, cuidan sus jardines y se ocupan de la gestión de su entorno. |"It is women who manage natural resources: land, water since they are usually the ones who take care of their gardens and manage their environment."|6  
Además, cuidan de especies vegetales y animales, favoreciendo su conservación y la biodiversidad, añade. |Furthermore, "they take care of plant and animal species, favoring their conservation and biodiversity," she adds.|15  
Y también, reconocen la importancia del medio ambiente, apostilla. |And also, "they recognize the importance of the environment," she adds.|15  
Esta es la reflexión de la profesora Ino Martínez en el Día Mundial de la Desertificación acerca del lema? Mujer. Sus tierras. Sus derechos". |This is Professor Ino Martinez's reflection on the World Day to Combat Desertification regarding the motto 'Woman. Her lands. Her rights.'|5  
El papel de la mujer contra la Desertificación. |The role of women against Desertification.|5  
La importancia de sus tierras y derechos. |The importance of their lands and rights.|5  
La mujer ha tenido un papel fundamental en el medio rural tradicionalmente. |Women have traditionally played a fundamental role in rural areas.|1  
En 1992, en la conferencia conocida como Cumbre para la Tierra, celebrada en Río de Janeiro, se iniciaron las negociaciones a nivel internacional sobre las cuestiones relacionadas con el medio ambiente y desarrollo. |In 1992, at the conference known as the 'Earth Summit' held in Rio de Janeiro, began international negotiations on issues related to the environment and development.|13  
Asimismo, la Declaración de Río (surgida de esta conferencia) definió los derechos y obligaciones de los Estados respecto a los principios básicos sobre el medio ambiente y el desarrollo, y se formuló como idea clave, entre otras, el convencimiento de que la plena participación de la mujer era considerada imprescindible para el logro de un desarrollo sostenible. |Likewise, the Rio Declaration (arising from this conference) defined the rights and obligations of States regarding basic principles on the environment and development, and formulated as a key idea, among others, the conviction that full women's participation was considered essential for achieving sustainable development.|5  
Esto es debido a que las mujeres desarrollan cuatro funciones básicas en el medio rural: a) productiva, como titulares de una actividad económica, trabajadoras asalariadas y ayuda familiar (invisibles a efectos estadísticos y económicos); b) social, siendo responsables del mantenimiento de la unidad familiar y del cuidado y bienestar de la población dependiente; c) cultural, al conservar y transmitir multitud de tradiciones culturales (gastronomía, labores artesanales y folklore, entre otras); y d) medioambiental.|This is because women perform four basic functions in rural areas: a) productive, as holders of an economic activity, waged workers, and family help (invisible for statistical and economic purposes); b) social, being responsible for maintaining the family unit and caring for the welfare of the dependent population; c) cultural, by preserving and transmitting many cultural traditions (gastronomy, crafts, and folklore, among others); and d) environmental.|1  
En esta función desarrollan actividades muy diferentes, dependiendo de si son titulares o no de tierra. |In this role, they perform very different activities, depending on whether they are landowners or not.|5  
En términos generales, todas llevan a cabo la gestión de recursos naturales (tierra, agua, bosques, ), a través del cuidado de sus jardines, zonas comunes colindantes, y gestión de su entorno.|In general, they all carry out the management of natural resources (land, water, forests, ...), through the care of their gardens, adjacent common areas, and management of their environment.|6  
Si son propietarias de tierras y las explotan directamente, realizan prácticas sostenibles de agricultura y ganadería; pues conocen muy bien las plantas, los ciclos naturales y la biodiversidad.|If they own lands and exploit them directly, they carry out sustainable practices in agriculture and livestock farming; as they know very well the plants, natural cycles, and biodiversity.|2  
En este sentido, desarrollan una agricultura sostenible, pues conservan semillas tradicionales, diversifican los cultivos, optimizan los recursos naturales, utilizan prácticas agrícolas respetuosas con el medio ambiente, y promocionan la agricultura ecológica; lo que ayuda a mejorar la seguridad alimentaria y a reducir la desertificación. |In this sense, they develop sustainable agriculture, as they conserve traditional seeds, diversify crops, optimize natural resources, use environmentally friendly agricultural practices, and promote organic farming; helping to improve food security and reduce desertification.|2  
Asimismo, estas mujeres promueven el uso de energía renovables (eólica y solar) en sus comunidades y actividades empresariales, la reducción de residuos, la reutilización de materiales y la gestión adecuada del agua, decreciendo las zonas que sufren la sequía y los efectos negativos de esta. |Likewise, these women promote the use of renewable energy (wind and solar) in their communities and business activities, waste reduction, material reutilization, and proper water management, decreasing areas suffering from drought and its negative effects.|7  
Por su importante papel en el medio rural, y en la función medioambiental, es importante impulsar los derechos de las mujeres sobre las tierras de las que son propietarias, mitigando la influencia patriarcal (si existe), para que desarrollen las actividades que a ellas más les interesan, o en las que pueden aportar un mayor valor añadido por el conocimiento específico y diferencial que tienen, creando y gestionando sus propios negocios. |Because of their significant role in rural areas, and in the environmental function, it is important to promote women's rights over the lands they own, mitigating patriarchal influence (if it exists), so they can engage in activities that interest them the most or where they can add more value due to their specific and differential knowledge, creating and managing their businesses.|5  
Por otro lado, es necesario reconocer su papel en las explotaciones que ellas dirigen, pues en muchas ocasiones son representadas por sus parejas, hermanos o padres en cooperativas, alhóndigas, bancos o en otras transacciones comerciales, quedando parcialmente invisibilizadas.|On the other hand, it is necessary to recognize their role in the enterprises they lead since they are often represented by their partners, brothers, or fathers in cooperatives, warehouses, banks, or other commercial transactions, leaving them partially invisible.|5  
Para ello, es imprescindible su empoderamiento y reconocimiento oficial, mediante la Titularidad de su negocio, y en caso de compartirla, la obtención de la Titularidad Compartida de su explotación, figura con escasa presencia en la Región de Murcia (donde sólo hay una mujer que la tiene: Adela García Armero).|For this, their empowerment and official recognition are essential, through the ownership of their business, and if sharing it, obtaining the Shared Ownership of their operation, a figure with little presence in the Region of Murcia (where only one woman holds it: Adela García Armero).|5  
Finalmente, las mujeres que realizan ayuda familiar en las explotaciones rurales familiares-, deben visibilizarse y ser reconocidas (con contrato laboral, seguridad social, nómina, trayectoria profesional) y los derechos que su condición les proporciona (pensiones de jubilación, tratamiento de enfermedades profesionales, etc.).|Finally, women who carry out family assistance in family rural enterprises must be made visible and recognized (with labor contracts, social security, payroll, professional trajectory) and the rights that their condition provides (retirement pensions, treatment of professional illnesses, etc.).|8  
