sentence | translation | sdg 
La UPCT ha titulado a más de 300 arquitectos y arquitectas, en proporción casi idéntica, desde que hace 15 años se implantaran en Cartagena los estudios que habilitan para ejercer esta profesión que combina los conocimientos técnicos, artísticos y humanísticos. | UPCT has awarded more than 300 architects, in almost identical proportions, since the studies enabling the practice of this profession that combines technical, artistic, and humanistic knowledge were implemented in Cartagena 15 years ago. | 4 
La Politécnica conmemora este año la efeméride con una muestra de los mejores proyectos finales de carrera realizados en el grado en Arquitectura. | The Polytechnic commemorates this year with an exhibition of the best final projects carried out in the Architecture degree. | 4 
La ETSAE (Escuela Técnica Superior de Arquitectura y Edificación) muestra durante el mes de junio una exposición con motivo del aniversario de la implantación de los estudios de Arquitectura en la UPCT en la que muestra los proyectos de sus mejores estudiantes. | The ETSAE (Higher Technical School of Architecture and Building) shows an exhibition during the month of June on the anniversary of the implementation of Architecture studies in the UPCT, showcasing the projects of its best students. | 4 
La exposición '2008-2023: 15 años de Arquitectura en la UPCT' ha seleccionado una treintena de Trabajos Fin de Estudios (TFE) del grado en Arquitectura que obtuvieron sobresaliente o matrícula de honor, y recoge también la trayectoria profesional de sus autores tras formarse en la Politécnica y los temas y lugares que han abordado los proyectos académicos de la ETSAE durante estos tres lustros. | The exhibition '2008-2023: 15 years of Architecture at UPCT' has selected thirty Final Degree Projects (TFE) from the Architecture degree that received outstanding or honors marks, and also covers the professional trajectory of its authors after training at the Polytechnic and the themes and places addressed by the academic projects of the ETSAE during these fifteen years. | 4,9 
Asimismo, se pueden ver proyectos planteados para diferentes barrios, diputaciones y pedanías de Cartagena y Murcia, así como para otros muchos municipios de la Región, como La Unión, Los Alcázares, San Pedro del Pinatar, Ricote, Cehegín, Caravaca, Cieza, Jumilla o Totana, y también trabajos emplazados en otras provincias españolas. | Likewise, projects can be seen proposed for different neighborhoods, districts, and townships of Cartagena and Murcia, as well as for many other municipalities in the Region, such as La Unión, Los Alcázares, San Pedro del Pinatar, Ricote, Cehegín, Caravaca, Cieza, Jumilla, or Totana, and also works located in other Spanish provinces. | 4 
Entre los trabajos con la mejor nota académica, está el primer TFE en Arquitectura que fue aprobado en la UPCT, en noviembre de 2014, el de Antonio Zamora Guillén: un centro de sinergias agroalimentarias e investigación diseñado para dar uso al abandonado monasterio de San Ginés de la Jara. | Among the works with the best academic grade is the first TFE in Architecture approved at the UPCT, in November 2014, by Antonio Zamora Guillén: a center for agri-food synergies and research designed to make use of the abandoned San Ginés de la Jara monastery. | 4 
También de las primeras promociones es el trabajo de David Hernández López, presentado en 2015, de diseño de una terminal de transportes para el AVE y un hipotético tranvía en Cartagena. | Also from the early promotions is the work of David Hernández López, presented in 2015, designing a transport terminal for the AVE and a hypothetical tram in Cartagena. | 4 
El proyecto proponía soterrar las vías que llegan a la actual estación de tren y disipar la división con el barrio de Los Mateos. | The project proposed to bury the tracks that reach the current train station and dissipate the division with the Los Mateos neighborhood. | 4 
Entre los primeros egresados con matrícula de honor, están algunos de los que han logrado numerosas distinciones internacionales, como José María Mateo Torres y Tomás Lario Roca, miembros del equipo de titulados por la UPCT que ganaron en 2021 la bienal europea de jóvenes arquitectos. | Among the first graduates with honors, some have achieved numerous international distinctions, such as José María Mateo Torres and Tomás Lario Roca, members of the team of graduates from the UPCT who won the European Biennial of Young Architects in 2021. | 4 
Ambos, junto a la también egresada Marta Sánchez Pérez, cosecharon un premio del concurso internacional Design Against War, y Mateo Torres también consiguió en 2019 el premio de la IE School of Architecture & Design's. | Both, along with the also graduate Marta Sánchez Pérez, won a prize in the international Design Against War competition, and Mateo Torres also won the IE School of Architecture & Design's prize in 2019. | 4 
De igual forma, los egresados más recientes también han obtenido premios, como el que Álvaro Sánchez Garda y Daniel Nicolás Pagán recabaron en el Concurso Ibérico de Sistemas Pladur. | Similarly, the most recent graduates have also received awards, such as Álvaro Sánchez Garda and Daniel Nicolás Pagán who won the Iberian Competition of Pladur Systems. | 4 
Los propios trabajos académicos que se realizan en la Escuela de Arquitectura y Edificación han logrado diversos premios, como uno de los que se incluyen en la muestra, la propuesta de estrategia urbanística para Cehegín y otras localidades del Noroeste de la Región de Sergio Giménez Fernández, que obtuvo el premio del Colegio de Arquitectos en 2020. | The academic projects carried out at the School of Architecture and Building have received various awards, such as one of those included in the exhibition, Sergio Giménez Fernández's urban strategy proposal for Cehegín and other towns in the Northwest Region, which won the Architects' Association Award in 2020. | 4 
También fue seleccionado como uno de los mejores de España en 2019 el TFE de Vicente Rex Lario. | Vicente Rex Lario's TFE was also selected as one of the best in Spain in 2019. | 4 
La muestra permite conocer proyectos creados por estudiantes de la UPCT para resolver problemas de toda índole, no sólo arquitectónicos o urbanísticos, como el diseño de centro enfermedades neuromusculares en el Puerto de la Cadena de Alba Miró Andreu, el centro especializado para pacientes de epilepsia en La Arrixaca de Juan Jesús López León o el hospital psiquiátrico diseñado por Virginia Monreal Martínez, ideado para el paseo Ronda de Cieza, junto al río y con vistas a la famosa floración de los melocotoneros. | The exhibition allows for the exploration of projects created by UPCT students to solve problems of all kinds, not only architectural or urban, such as the design of a neuromuscular disease center in Puerto de la Cadena by Alba Miró Andreu, the specialized center for epilepsy patients in La Arrixaca by Juan Jesús López León, or the psychiatric hospital designed by Virginia Monreal Martínez, conceived for the Ronda de Cieza promenade, by the river and overlooking the famous peach blossom. | 4 
