sentence | translation | sdg  
La Escuela Internacional de Doctorado (EINDOC) ha publicado la convocatoria de dos becas para la realización del Doctorado Industrial en el seno de la UPCT. | The International Doctoral School (EINDOC) has published the call for two scholarships for the Industrial Doctorate within the UPCT. | 4  
Tienen una cuantía de 500 para cada uno de los tres cursos académicos previstos de realización de tesis. | They have an amount of 500€ for each of the three academic courses planned for thesis completion. | 4  
Las solicitudes se pueden presentar hasta el próximo 12 de mayo a través del Registro Electrónico de la UPCT. | Applications can be submitted until May 12 through the Electronic Registry of the UPCT. | 4  
Estos doctorandos realizan su tesis en el seno de una empresa comprometida con la investigación y la innovación, ya sea del sector público, privado o Administración Pública donde deben tener un contrato laboral o mercantil. | These doctoral students complete their thesis within a company committed to research and innovation, whether from the public, private sector, or Public Administration where they must have a labor or commercial contract. | 9  
De esta manera, el Doctorado Industrial permite solucionar problemas reales de la sociedad y contribuye a la mejora de su competitividad e internacionalización y, en consecuencia, al crecimiento del tejido industrial de la Región y del país, indica el director de la EINDOC, el profesor Pedro Sánchez Palma. | In this way, the Industrial Doctorate allows solving real problems of society and contributes to improving its competitiveness and internationalization, and consequently, to the growth of the industrial fabric of the Region and the country, says the director of EINDOC, Professor Pedro Sánchez Palma. | 9  
El director de EINDOC resalta: Aquellas personas que realizan labores de investigación en el seno de las empresas, pueden aprovechar esa dedicación para a partir de ahí llevar adelante una tesis doctoral, siempre bajo la supervisión de un director doctor bien de la propia empresa o de la universidad. | The director of EINDOC highlights: "Those who carry out research tasks within companies can take advantage of that dedication to then carry out a doctoral thesis, always under the supervision of a qualified director either from the company itself or the university." | 9  
Esta convocatoria es la tercera que lanza la universidad con el propósito de incentivar la realización de doctorados en el seno de las empresas. | This call is the third one launched by the university with the purpose of encouraging the completion of doctorates within companies. | 9  
Hasta la fecha, un total de seis estudiantes han obtenido su doctorado con la Mención Industrial. | To date, a total of six students have obtained their doctorate with an Industrial Mention. | 4  
Actualmente, otros tantos estudiantes cursan estudios en esta modalidad con distintas empresas tanto de dentro de la Región de Murcia como fuera de ella y en otros países. | Currently, an equal number of students are studying under this modality with different companies both within the Region of Murcia and beyond, including other countries. | 4  
Más información: https://doctorado.upct.es/informacion/doctorados-industriales | More information: https://doctorado.upct.es/informacion/doctorados-industriales | 4  
