sentence | translation | sdg
Expertos en anticipar catástrofes. | Experts in anticipating disasters. | 11
La Universidad Politécnica de Cartagena formará a especialistas en cálculo de zonas inundables, modelización hidráulica y efectos hidrológicos del cambio climático. | The Polytechnic University of Cartagena will train specialists in calculating flood zones, hydraulic modeling, and the hydrological effects of climate change. | 13
El Consejo de Gobierno de la UPCT ha aprobado la creación de un título propio de posgrado para cubrir la demanda de profesionales capacitados para definir las zonas de riesgo ante inundaciones. | The Governing Council of the UPCT has approved the creation of a postgraduate program to meet the demand for professionals trained to define flood risk areas. | 13
La implementación de la directiva europea de Evaluación y gestión de los riesgos de inundación obliga a los ayuntamientos a repensar los usos del suelo en sus municipios, de ahí la enorme necesidad de la figura de ingeniero calculista de zonas inundables que, tienen los consistorios, explica Juan García Bermejo, director de la Escuela de Caminos y Minas de la UPCT. | The implementation of the European directive on the evaluation and management of flood risks requires municipalities to rethink land use in their municipalities, hence the "enormous" need for the figure of an engineer specializing in flood zones, as explained by Juan García Bermejo, director of the School of Civil Engineering and Mines at UPCT. | 13
Las inundaciones son el tipo más frecuente de catástrofe natural, especialmente en España, donde, según el Consorcio de Compensación de Seguros y el Instituto Geológico y Minero, los daños por inundaciones se estiman en total en una media de 800 millones de euros anuales. | Floods are the most common type of natural disaster, especially in Spain, where, according to the Consortium of Insurance Compensation and the Geological and Mining Institute, flood damages are estimated to total an average of 800 million euros per year. | 13
Las inundaciones también están aumentando en frecuencia e intensidad, y se espera que la frecuencia e intensidad de las precipitaciones extremas siga aumentando debido al cambio climático, argumenta José María Carrillo, director del nuevo título. | "Floods are also increasing in frequency and intensity, and it is expected that the frequency and intensity of extreme precipitation will continue to increase due to climate change," argues José María Carrillo, director of the new program. | 13
Presencial o virtual Quienes completen este nuevo título estarán capacitados para el diseño, planificación y supervisión de actuaciones para la reducción y minimización del riesgo generado por las inundaciones, así como para generar áreas más resilientes. | In-person or virtual Those who complete this new program will be qualified to design, plan, and supervise actions to reduce and minimize the risks generated by floods, as well as to create more resilient areas. | 13
Estas funciones pueden ejercerse en empresas, administraciones públicas, universidades y centros de formación e investigación, así como a través del ejercicio libre de la profesión. | These functions can be carried out in companies, public administrations, universities, and training and research centers, as well as through the practice of the profession. | 4
El título está recomendado para ingenieros civiles o de Caminos, Canales y Puertos, ingenieros agrónomos o técnicos agrícolas y también para ingenieros de Montes o técnicos forestales. | The program is recommended for civil engineers or those specialized in Roads, Canals, and Ports, agricultural engineers or agricultural technicians, as well as forestry engineers or forest technicians. | 9
El título de Especialista Universitario en Zonas Inundables constará de 30 créditos y 240 horas de formación eminentemente práctica, impartida de febrero a mayo, que culminará con trabajos finales sobre estudios de inundabilidad y simulación numérica de zonas inundables. | The University Specialist title in Flood Zones will consist of 30 credits and 240 hours of highly practical training, taught from February to May, culminating in final projects on flood studies and numerical simulation of flood zones. | 13
Se podrá cursar de forma presencial o virtual. | It can be taken in-person or virtually. | 4
Este título propio es un adelanto del máster universitario oficial en zonas inundables que estamos preparando, adelanta García Bermejo. | "This program is a preview of the official university master's degree in flood zones that we are preparing," García Bermejo reveals. | 13
Curso gratuito de movilidad El Consejo de Gobierno ha aprobado también hoy el nuevo curso Aplicaciones para la digitalización en materia de movilidad urbana sostenible, para el que ya está abierta la inscripción y que no tiene coste de matrícula dado que está subvencionado por el Ministerio de Transportes, Movilidad y Agenda Urbana (MITMA), con fondos Next Generation. | Free mobility course The Governing Council has also approved today the new course 'Applications for digitization in sustainable urban mobility', for which registration is already open and has no tuition fees as it is subsidized by the Ministry of Transport, Mobility, and Urban Agenda (MITMA), with Next Generation funds. | 9
Coordina el curso el profesor Salvador García-Ayllón Veintimilla. | The course is coordinated by Professor Salvador García-Ayllón Veintimilla. | 4
El curso desgranará a través de clases teóricas y diversos casos prácticos la relación entre los distintos modos de transporte y la interacción de estos con el sistema económico, territorial y social de la ciudad mediante distintas técnicas de digitalización de la movilidad, poniendo además especial énfasis en las nuevas tendencias de movilidad urbana sostenible y en los mecanismos más innovadores de digitalización de la planificación del transporte existentes a nivel científico. | The course will dissect, through theoretical classes and various practical cases, the relationship between different modes of transportation and their interaction with the economic, territorial, and social system of the city using various techniques of mobility digitization, also placing special emphasis on the new trends in sustainable urban mobility and the most innovative mechanisms of transport planning digitization existing at a scientific level. | 11
