sentence | translation | sdg
Es alcanzable el residuo 0 en las explotaciones ganaderas | Is residue 0 achievable in livestock operations | 12
Cómo se logra una gestión exitosa de subproductos ganaderos y residuos urbanos mediante compostaje | How to achieve successful management of livestock by-products and urban waste through composting | 15
Cuáles son los retos de las industrias ganaderas | What are the challenges of livestock industries | 8
Estas son algunas de las cuestiones de actualidad a las que dieron respuesta este martes y miércoles investigadores y expertos de diferentes puntos del país en las jornadas sobre compostaje que se celebraron en Lorca e incluyeron una visita a una planta de compostaje de Torre-Pacheco | These are some of the current issues that researchers and experts from different parts of the country addressed this Tuesday and Wednesday at the composting conference held in Lorca, which included a visit to a composting plant in Torre-Pacheco | 9
Las jornadas se enmarcan en el proyecto europeo COMPOSTER: Encouraging young farmers to produce compost for healthy soil and organic food using innovative solutions y las organizan investigadores del grupo de Gestión Aprovechamiento y Recuperación de Suelos y Aguas (GARSA-UPCT | The conference is part of the European project "COMPOSTER: Encouraging young farmers to produce compost for healthy soil and organic food using innovative solutions," organized by researchers from the Soil and Water Management and Recovery Group (GARSA-UPCT) | 2
Este proyecto de investigación (2021-1-TR01-KA220-VET-000024977), enmarcado en el programa ERASMUS+, finalizará en 2024 y tiene un presupuesto de 173.875 euros | This research project (2021-1-TR01-KA220-VET-000024977), framed within the ERASMUS+ program, will end in 2024 and has a budget of €173,875 | 4
Uno de sus principales objetivos es establecer relaciones de cooperación y asociación a largo plazo entre Turquía, Lituania y España en el sector del compostaje, para desarrollar las mejores prácticas en la producción de compost | One of its main objectives is to establish long-term cooperation and partnership relationships between Turkey, Lithuania, and Spain in the composting sector to develop best practices in compost production | 17
Las jornadas arrancaron con una visita a la 56ª edición de la Feria Ganadera, Industrial y Alimentaria de Lorca (SEPOR | The conference kicked off with a visit to the 56th edition of the Livestock, Industrial, and Food Fair of Lorca (SEPOR) | 9
El martes por la tarde se celebró el programa de ponencias, que concluyó con una mesa redonda sobre los retos ambientales en las empresas ganaderas | On Tuesday afternoon, the program of presentations took place, which concluded with a roundtable on environmental challenges in livestock companies | 8
Y ayer miércoles se realizaron visitas en Torre-Pacheco al Centro Integrado de Formación y Experiencias Agrarias (CIFEA) y a la planta de compostaje Retorna del Sur | And yesterday, Wednesday, visits were made in Torre-Pacheco to the Integrated Center for Agricultural Training and Experiences (CIFEA) and to the composting plant Retorna del Sur | 4
