sentence | translation | sdg
Empiezan de nuevo las clases de alemán para la comunidad universitaria. | German classes are starting again for the university community. | 4
El vicerrectorado de Internacionalización y Universidad Europea oferta cursos cuatrimestrales, de 60 horas, en modalidad presencial y online. | The Vice Chancellorship of Internationalization and the European University offers quarterly courses, 60 hours each, in face-to-face and online mode. | 4
Cuatro horas a la semana en dos sesiones. | Four hours per week in two sessions. | 4
Los niveles A1 y A2 se ofertan dos grupos: presencial y online, a través de la plataforma Teams. | Levels A1 and A2 are offered in two groups: face-to-face and online, through the Teams platform. | 4
A partir de B1, son grupos presenciales. | From level B1 onwards, they are face-to-face groups. | 4
Las clases se imparten en la Escuela de Ingeniería Industrial. | The classes are taught at the School of Industrial Engineering. | 4
Las sesiones presenciales son de 13:00 a 15:00 horas. | Face-to-face sessions are from 13:00 to 15:00 hours. | 4
Las online, de 18:30 a 20:30 horas. | Online sessions are from 18:30 to 20:30 hours. | 4
Las inscripciones se pueden realizar hasta este martes, 31 de octubre, a través del Campus Virtual. | Registrations can be done until this Tuesday, October 31st, through the Virtual Campus. | 4
Pueden matricularse estudiantes, Personal Docente Investigador (PDI) y PTGAS (Personal Técnico, de Gestión y Administración y Servicios). | Students, Teaching and Research Staff (PDI), and PTGAS (Technical, Management, Administration, and Services Staff) can enroll. | 4
En el caso de este último colectivo, pueden matricularse en grupos fuera de su horario de obligado cumplimiento. | In the case of the latter group, they can enroll in groups outside their mandatory schedule. | 4
