sentence|translation|sdg
AMAE es una asociación europeísta, sin ánimo de lucro que, como figura en sus estatutos, asume el lema In varietate concordia (Unida en la diversidad) como una declaración de principios.|AMAE is a European association, non-profit organization that, as stated in its statutes, takes on the motto In varietate concordia (United in diversity) as a declaration of principles.|4, 10
AMAE se inspira en los valores europeos y muy especialmente en el espíritu del programa Erasmus al que reconoce como uno de los mejores artífices de la construcción europea.|AMAE is inspired by European values and especially in the spirit of the Erasmus program, which it recognizes as one of the best creators of European construction.|4, 10
Los principales objetivos de la Asociación Mediterránea Amigos de Erasmus giran en torno a la difusión de los valores sobre los que se cimenta la Unión Europea, así como para desarrollo de actividades que inspiren el sentido de pertenencia europeo.|The main objectives of the Mediterranean Association Friends of Erasmus revolve around the dissemination of the values on which the European Union is based, as well as the development of activities that inspire the sense of European belonging.|4, 10
AMAE, cuya sede se encuentra en la Universidad Politécnica de Cartagena, está integrada por personas procedentes de diversos ámbitos.|AMAE, whose headquarters are located at the Polytechnic University of Cartagena, is made up of people from various backgrounds.|4, 10
En la firma del acta fundacional -que ha tenido lugar en la Capilla del rectorado de la UPCT- ha participado personal de la EOI de Cartagena y la EOI de San Javier, el Conservatorio de Música de Cartagena, Embajadores eTwinning Región de Murcia, IES Sanje de Alcantarilla (Escuela Mentora del Parlamento Europeo), CIFP Hespérides Cartagena, CIFP Carlos III Cartagena, IES Los Molinos Cartagena, Centro Tecnológico del Mueble y la Madera (Yecla), Cartagena Oceanographic Research Institute, CEIP San Félix Cartagena, CEIP Nuestra Señora de los Dolores Cartagena, Colegio Na...|At the signing of the founding act - which took place in the Chapel of the rectory of the UPCT - staff from the EOI of Cartagena and EOI of San Javier, the Music Conservatory of Cartagena, Ambassadors eTwinning Region of Murcia, IES Sanje de Alcantarilla (Mentoring School of the European Parliament), CIFP Hespérides Cartagena, CIFP Carlos III Cartagena, IES Los Molinos Cartagena, Furniture and Wood Technological Center (Yecla), Cartagena Oceanographic Research Institute, etc.|4, 10
La rectora, Beatriz Miguel, ha subrayado la importancia de esta iniciativa y destaca el papel del programa Erasmus como elemento vertebrador y herramienta para tender puentes.|The rector, Beatriz Miguel, has emphasized the importance of this initiative and highlights the role of the Erasmus program as a unifying element and a tool for building bridges.|4, 10
Asimismo, señala que el hecho de que la UPCT sea la sede de esta asociación es una muestra del papel social de la universidad pública.|Likewise, it points out that the fact that the UPCT is the headquarters of this association is a demonstration of the social role of the public university.|4, 10
Nacho Ros, presidente del Festival Internacional de Cine de Cartagena cree que se trata de una oportunidad que hay que aprovechar El FICC tiene marca UE desde hace unos años y queremos afianzarla.|Nacho Ros, president of the International Film Festival of Cartagena, believes "that it is an opportunity that must be seized." The FICC has had "EU brand for a few years and we want to strengthen it."|4, 10
Loles Rodríguez, gerente de TeleCartagena, por su parte ha declarado estar entusiasmada con AMAE y cree que es un proyecto interesante que ofrece muchas posibilidades.|Loles Rodríguez, manager of TeleCartagena, on the other hand, has stated "to be excited about AMAE and believes it is an interesting project that offers many possibilities.|4, 10
Cristina Roca, de La Pecera, está muy contenta de formar parte de esta iniciativa a la que augura un futuro esperanzador.|Cristina Roca, from La Pecera, is "very happy to be part of this initiative which she predicts a hopeful future".|4, 10
Teresa Allepuz, responsable de Desarrollo y Promoción de la UPCT e impulsora de esta iniciativa se muestra tremendamente agradecida a la cálida acogida que ha tenido y al enorme interés que AMAE ha despertado.|Teresa Allepuz, Head of Development and Promotion of the UPCT and promoter of this initiative, is "tremendously grateful for the warm reception it has received and the huge interest that AMAE has aroused".|4, 10
Queremos generar espacios de reflexión y diálogo que fomenten el pensamiento crítico y la participación ciudadana a favor del proyecto europeo, ha señalado también.|"We want to generate spaces for reflection and dialogue that promote critical thinking and citizen participation in favor of the European project," it has also pointed out.|4, 10
La primera actividad de AMAE será el próximo octubre con motivo de la celebración de los Erasmus Days 2023.|The first activity of AMAE will be next October on the occasion of the celebration of Erasmus Days 2023.|4, 10
