sentence|translation|sdg
La Escuela Técnica Superior de Arquitectura y Edificación (ETSAE) ha abierto la convocatoria de selección de programadores culturales para el próximo cuatrimestre, patrocinada por la empresa Terrapilar.|The School of Architecture and Building Engineering (ETSAE) has opened the call for the selection of cultural programmers for the next semester, sponsored by the company Terrapilar.|4
Las propuestas se pueden presentar hasta el próximo 12 de mayo.|Proposals can be submitted until May 12th.|4
Pueden participar en esta convocatoria estudiantes, profesores, investigadores y personal de administración y servicios de la ETSAE, en equipos compuestos por miembros de la escuela (incluidos equipos mixtos de Alumnos, PDI y/o PAS) o de forma individual.|Students, professors, researchers, and administrative staff of the ETSAE can participate in this call, either in teams composed of school members (including mixed teams of students, teaching staff, and/or administrative staff) or individually.|4
Las propuestas deben incluir una descripción de hasta cuatro actividades culturales a realizar durante el primer cuatrimestre del próximo curso.|Proposals must include a description of up to four cultural activities to be carried out during the first semester of the next academic year.|4
Estos eventos podrán tener diversos formatos: conferencias, exposiciones, talleres o debates más clásicos, entre otros.|These events may take various formats: conferences, exhibitions, workshops, or more traditional debates, among others.|4
La Comisión de Cultura y Divulgación de la ETSAE seleccionará, de entre las propuestas presentadas, aquella que se encargará de la programación cultural de la Escuela para el periodo de esta convocatoria.|The Culture and Outreach Commission of the ETSAE will select from the proposals submitted, the one that will be in charge of the cultural programming of the School for the duration of this call.|4
El equipo o la persona proponente de dicha propuesta serán los Programadores Culturales de la ETSAE para el periodo de esta convocatoria.|The team or individual proposing such a proposal will be the Cultural Programmers of the ETSAE for the duration of this call.|4
Las actividades culturales complementan la formación de los estudiantes de la ETSAE.|Cultural activities complement the education of students at the ETSAE.|4
De convocatorias como ésta han surgido los ciclos Debates Bi, Ciclo Re, Fuera del Aula, Bienvenidos Intrusos, Dí y Bauhaus Mikro Schule, informa la Dirección del centro.|Cycles such as Debates Bi, Ciclo Re, Fuera del Aula, Bienvenidos Intrusos, Dí, and Bauhaus Mikro Schule have emerged from calls like this, reports the center's management.|4
Las propuestas se entregarán a través del siguiente formulario web, utilizando dirección de correo electrónico de la UPCT.|Proposals will be submitted through the following online form, using the UPCT email address.|9
La empresa Terrapilar, de Pilar de la Horadada, está dedicada a la venta de materiales de construcción y patrocina actividades culturales de la ETSAE.|The company Terrapilar, from Pilar de la Horadada, is dedicated to selling construction materials and sponsors cultural activities at the ETSAE.|4
