sentence|translation|sdg
La Cátedra de Emprendimiento Santander-UPCT ha lanzado un programa de Cultura Emprendedora e Innovadora|The Santander-UPCT Entrepreneurship Chair has launched a program on Entrepreneurial and Innovative Culture|8
diseñado para estudiantes universitarios, reciban formación online dirigida a su desarrollo personal y profesional|designed for university students to receive online training aimed at their personal and professional development|4
Hablar en público, creatividad, gestión del tiempo son algunos de los temas que abordarán los diferentes talleres|Public speaking, creativity, time management are some of the topics that will be covered in the various workshops|4
cuya finalidad es facilitar a los participantes las herramientas necesarias para que destaquen en su vida académica, profesional y personal|whose purpose is to provide participants with the necessary tools to excel in their academic, professional, and personal lives|4
La programación incluye dos programas: uno de Estrategia y liderazgo emprendedor y otro de Creatividad emprendedora|The schedule includes two programs: one on Entrepreneurial Strategy and Leadership and another on Entrepreneurial Creativity|8
Constan de cuatro talleres cada uno|Each consists of four workshops|8
Comenzarán el 19 de octubre y finalizarán el 15 de noviembre|They will start on October 19 and end on November 15|4
Los talleres se llevarán a cabo de 16:30 a 19:00 horas|The workshops will take place from 16:30 to 19:00|4
Los estudiantes que asistan al programa completo serán reconocidos con 0,5 créditos ECTS por cada programa|Students who attend the full program will receive 0.5 ECTS credits for each program|4
El programa Estrategia y liderazgo emprendedor comenzará el 19 de octubre con un taller en formato presencial sobre Cómo hablar en público|The Entrepreneurial Strategy and Leadership program will start on October 19 with an in-person workshop on 'Public Speaking'|4
El 25 de octubre se realizará Gestión del tiempo|On October 25, 'Time Management' will be carried out|4
El 8 de noviembre, Negociación integradora|On November 8, 'Integrated Negotiation'|16
Este paquete finaliza el 15 de noviembre con un taller de Liderazgo y gestión de equipos|This package concludes on November 15 with a workshop on 'Leadership and Team Management'|4
El programa Creatividad emprendedora ofrece otros cuatro talleres|The Entrepreneurial Creativity program offers another four workshops|8
Descifrando la Creatividad: Qué es y cómo entrenarla,que  tendrá lugar el 23 de octubre|'Deciphering Creativity: What it is and how to train it', which will take place on October 23|8
El lunes 30 de octubre se ofertará otro de Desarrollo del pensamiento crítico|On Monday, October 30, another workshop on 'Critical Thinking Development' will be offered|4
El tercero de este bloque tendrá lugar el 6 de noviembre y versará sobre Autoconocimiento a través de la Neurociencia: Desarrollo del talento y la motivación|The third in this block will take place on November 6 and will focus on 'Self-awareness through Neuroscience: Talent and Motivation Development'|3
Este bloque finaliza el 13 de noviembre con Competencias personales para el emprendimiento|This block ends on November 13 with 'Personal Skills for Entrepreneurship'|4
Las inscripciones permanecerán abiertas hasta el 13 de octubre y se pueden realizar a través del portal de Santander Becas o pinchando en los siguientes enlaces|Registrations will remain open until October 13 and can be done through the Santander Scholarships portal or by clicking on the following links|10
Estos programas están financiados por el Convenio de Colaboración INFO-UPCT, para la ejecución de las actividades del Programa de Emprendimiento 2023, y la Cátedra de Emprendimiento Santander-UPCT de la Red de Cátedras UPCT|These programs are funded by the INFO-UPCT Collaboration Agreement for the execution of the Entrepreneurship 2023 Program activities, and the Santander-UPCT Entrepreneurship Chair of the UPCT Chair Network|8
